city_name,2-Trips,3-Trips,4-Trips,5-Trips,6-Trips,7-Trips,8-Trips,9-Trips,10-Trips
Visakhapatnam,51.3%,25.0%,10.0%,5.4%,3.2%,2.0%,1.4%,0.9%,0.9%
Chandigarh,32.3%,19.3%,15.7%,12.2%,7.4%,5.5%,3.5%,2.3%,1.8%
Surat,9.8%,14.3%,16.6%,19.7%,18.5%,11.9%,6.2%,1.7%,1.4%
Vadodara,9.9%,14.2%,16.5%,18.1%,19.1%,12.9%,5.8%,2.0%,1.6%
Mysore,48.7%,24.4%,12.7%,5.8%,4.1%,1.8%,1.4%,0.5%,0.5%
Kochi,47.7%,24.4%,11.8%,6.5%,3.9%,2.1%,1.7%,1.2%,0.8%
Indore,34.3%,22.7%,13.4%,10.3%,6.8%,5.2%,3.3%,2.4%,1.5%
Jaipur,50.1%,20.7%,12.1%,6.3%,4.1%,2.5%,1.9%,1.2%,1.0%
Coimbatore,11.2%,14.8%,15.6%,20.6%,17.6%,10.5%,6.2%,2.3%,1.2%
Lucknow,9.7%,14.8%,16.2%,18.4%,20.2%,11.3%,6.4%,1.9%,1.1%
